sample-id	year	season	sample location	location_filter	condition	locality	betaplus2	lab	betaplus	ID-sample location	old-ids	cond_year
2	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
3	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
4	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
5	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
7	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
8	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
9	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
10	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
11	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
12	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
13	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
14	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
15	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
16	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
17	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
18	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
19	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
20	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
21	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
22	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
23	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
24	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
25	2017		Reschbachtal	ok	FL	FL	FL 2017		Reschbachtal 2017			FL 2017
26	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
28	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
29	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
30	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
31	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
32	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
33	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
34	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
35	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
36	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
37	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
38	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
39	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
40	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
41	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
42	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
43	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
44	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
45	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
46	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
47	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
48	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
49	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
50	2017		Ahornschachten	ok	WG	Ahornschachten	Ahornschachten 2017		Ahornschachten 2017			WG 2017
51	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
52	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
53	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
54	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
55	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
56	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
57	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
58	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
59	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
60	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
61	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
62	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
63	2017		Neuhüttenwiese	ok	WG	Neuhüttenwiese	Neuhüttenwiese 2017		Neuhüttenwiese 2017			WG 2017
